Industry,2012,2013,2014,2015,2016,2017,2018,2019
"Agriculture, forestry and fishing",1501947.3219546,1675106.50288405,1926371.8648107,2068957.67400681,2175546.79443461,2484005,2594729.00,2692433.00
crops,982151.03913563,1088813.67825313,1248775.87200002,1277589.84791744,1312189.33600774,1530137,,
livestock,327333.712115916,368822.88366687,422732.598935343,510019.531028881,560612.677744069,639912,,
forestry and logging,124436.032670075,137558.446427701,156673.751356286,165222.490881357,175617.413353079,180465,,
fishing and aquaculture,68026.5380329767,79911.49453635,98189.6425190484,116125.804179128,127127.367329725,133492,,
Mining and quarrying,261035.369022215,285842.008066873,295794.343407469,314177.297478069,296253.253451096,332947,374689.00,457301.00
Manufacturing,1409985.57100547,1572836.89650687,1713451.60061987,1883937.12588624,2064819.57613082,2329220,2530311.00,2853986.00
"Food Products, Beverages and Tobacco",167524.261270612,168227.130584156,175673.085062955,204461.626422525,218395.258233193,212347,,
"Textiles,  Apparel and Leather Products",153237.525485296,187981.139665454,246424.25186129,254174.471500412,271157.725043535,315236,,
Metal Products,229627.394398342,248914.627950359,286997.631624278,257613.84323933,267086.79133013,251748,,
Machinery and Equipment,334669.512285402,356231.1347576,343383.19333414,386342.157375857,428005.94802678,548807,,
Other Manufactured Goods,524926.877565815,611482.863549298,660973.438737209,781345.027348119,880173.853497187,1001081,,
"Electricity, gas, water supply & other utility services",186668,215349.645031802,260154.607337365,279631.211329755,321651.171462562,363482,387694.00,452683.00
Construction,777334.548945684,849364.896970174,921469.979488899,987493.124908786,1006402.63788123,1028463,1118946.00,1278617.00
"Trade, repair, hotels and restaurants",883582.302773688,1054532.74009318,1184560.26929197,1311302.14403648,1425925.36136857,1586238,,
Trade & repair services,793681.470487468,954683.207187763,1078420.5559216,1196899.82536695,1298003.7223085,1446832,,
Hotels & restaurants,89900.8322862202,99849.532905419,106139.713370379,114402.318669531,127921.639060071,139406,,
"Transport, storage, communication & services related to broadcasting",529533.759660002,609452.971244897,689906.33933391,783819.265771915,868438.236612499,935575,2809748.00,3157709.00
Railways,61150,72295.507524323,78723.9834219061,91945.7444911947,101595.925357478,106582,,
Road transport,262441.934010604,300651.691045568,338305.692767076,367965.362837586,395473.937051888,434588,,
Water transport,6909.84211988213,7189.68703684887,6475.64615734949,7592.2508533083,6457.66974903198,6848,,
Air transport,4392.79698874679,8127.69246129446,6852.5457077042,11431.3069758839,19950.02856409,20655,,
Services incidental to transport,63602.0411213043,72054.1132444149,75718.558816693,91029.3839959103,95723.9051107176,103496,,
Storage,5107.60763301347,6165.16581280911,6025.78348302541,6556.82939702776,7162.25098248193,6888,,
Communication & services related to broadcasting,125929.537786452,142969.114119638,177804.128980155,207298.387221004,242074.519796811,256518,,
Financial services,480226,536818.759618554,599341.461366587,659157.448716741,721073.136740949,742936,,
"Real estate, ownership of dwelling & professional services",1050651.37235258,1239813.29730958,1470166.75992781,1704092.79837656,1910046.38458492,2114386,3164547.00,3555780.00
Public administration and defence,491154.78277657,546231.223440088,601912.394716987,677494.092496188,737372.863231551,859615,2201707.00,2512857.00
Other services,534826.965042009,617343.162986858,700022.991337738,811732.172956129,931112.949238545,1064724,,
TOTAL GVA at basic prices,8106945.99353281,9202692.10415293,10363152.6116393,11481794.3559637,12458642.3651374,13841591,15182371.00,16961365.00
